epoch,iter,global_step,loss,attn,box,ctr,lm,box_w,iou_p70,iou_p80,iou_p90,iou_05,iou_size,pos_mean,neg_mean,p_cur,sec_per_iter,imgs_per_sec,eta_epoch_min,eta_total_min
1,1,1,0.427182,1.021795,1.700026,0.0,0.0,0.0,0.051797,0.053955,0.046472,0.052077,0.042945,0.464815,0.470027,0.7,0.585976,1.71,838.55,14.64
1,2,2,1.424902,1.230226,1.456831,0.0,0.0,0.5,0.080084,0.076843,0.063793,0.00366,0.036585,0.145029,0.089581,0.7,0.549321,1.99,786.09,14.54
1,3,3,1.334552,1.005345,1.479895,0.0,0.0,0.5,0.087886,0.071028,0.047538,0.027765,0.026157,0.240495,0.162861,0.7,0.516373,2.25,738.93,14.44
1,4,4,1.278083,0.911477,1.648236,0.0,0.0,0.5,0.088869,0.095602,0.094748,0.094019,0.092077,0.519694,0.435431,0.7,0.486728,2.48,696.5,14.34
1,5,5,1.479905,1.351303,1.45231,0.0,0.0,0.5,0.085272,0.081812,0.073417,0.009992,0.049383,0.128023,0.0709,0.7,0.460054,2.68,658.32,14.24
1,6,6,1.43698,1.253977,1.455336,0.0,0.0,0.5,0.089525,0.078194,0.057231,0.010383,0.034483,0.154455,0.091201,0.7,0.436064,2.87,623.99,14.14
1,7,7,1.326638,1.070412,1.429456,0.0,0.0,0.5,0.095137,0.08,0.080939,0.044066,0.055901,0.238481,0.125709,0.7,0.414447,3.04,593.05,14.05
1,8,8,1.358464,0.917541,1.669278,0.0,0.0,0.5,0.100807,0.100277,0.056869,0.096249,0.032389,0.597285,0.459219,0.7,0.395002,3.19,565.21,13.95
1,9,9,1.227636,0.869924,1.50967,0.0,0.0,0.5,0.084784,0.077068,0.03907,0.028908,0.013917,0.329421,0.239893,0.7,0.377499,3.32,540.16,13.86
1,10,10,1.360756,1.132188,1.774784,0.0,0.0,0.5,0.038649,0.034711,0.032463,0.040766,0.022044,0.501215,0.53748,0.7,0.361765,3.45,517.64,13.77
1,11,11,1.247893,0.892574,1.518484,0.0,0.0,0.5,0.092159,0.086599,0.05362,0.032496,0.030303,0.308185,0.240459,0.7,0.347645,3.55,497.43,13.67
